ChunkID, Download Start Time, Download End Time, Bandwidth, TTFB, Size 
1,4.026,5.37,0.690172619048,0.056,0.927592
2,7.116,9.566,0.500693877551,0.051,1.2267
3,9.903,12.445,0.504390243902,0.05,1.28216
4,13.036,16.278,0.52462553979,0.191,1.700836
5,16.746,18.216,1.18197006803,0.19,1.737496
6,18.628,19.843,0.147416460905,0.16,0.179111
7,20.283,25.939,1.19235077793,0.05,6.743936
8,27.307,33.106,1.15921986549,0.095,6.722316
9,34.266,40.548,1.11752562878,0.06,7.020296
10,41.75,47.788,1.17043855581,0.056,7.067108
11,48.879,55.205,1.14520708188,0.089,7.24458
12,56.426,62.548,1.13715125776,0.052,6.96164
13,64.15,70.472,1.18708826321,0.061,7.504772
14,72.168,78.113,1.12316164844,0.067,6.677196
15,79.207,85.302,1.10600754717,0.051,6.741116
16,86.535,92.803,1.16840140396,0.058,7.32354
17,94.411,100.515,1.18895216252,0.075,7.257364
18,101.989,108.312,1.09556160051,0.06,6.927236
19,109.596,116.168,1.07427754108,0.056,7.060152
20,117.154,123.193,1.16675807253,0.059,7.046052
21,124.575,130.77,1.18957417272,0.084,7.369412
22,132.359,138.35,1.20180671007,0.059,7.200024
23,139.804,145.857,1.1247388072,0.096,6.808044
24,147.222,153.475,1.15430737246,0.058,7.217884
25,155.025,159.395,1.6312979405,0.061,7.128772
26,160.845,161.508,0.190461538462,0.076,0.126276
